Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
14-130,"Lemons, flesh only, raw, weighed with peel and pips",FA,0,N,,0.03,0.01,0.1,0.1,0.2,0.05,0,7,0.12,N,34,,,,,,,,,,,,,,,,,,,,,,,
14-129,"Lemons, peeled, flesh only",FA,0,N,,0.05,0.02,0.2,0.1,0.3,0.08,0,11,0.19,N,53,,,,,,,,,,,,,,,,,,,,,,,
14-128,"Lemons, whole, without pips",FA,0,N,,0.05,0.04,0.2,0.1,0.3,0.11,0,N,0.23,0.5,58,,,,,,,,,,,,,,,,,,,,,,,
15-200,"Lentil and nut roast, homemade",DR,0,1.66,,0.14,0.07,2.2,1.9,4.1,0.21,0,14,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-201,"Lentil and nut roast, with egg, homemade",DR,0.1,1.63,,0.14,0.09,2.1,2,4.1,0.2,0.2,15,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-817,"Lentil and potato pie, homemade",DR,0.2,N,,0.17,0.04,0.6,0.8,1.4,0.29,Tr,27,N,N,3,,,,,,,,,,,,,,,,,,,,,,,
15-818,"Lentil and rice roast, homemade",DR,0,N,,0.12,0.02,1.5,1.2,2.7,0.1,0,15,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
15-819,"Lentil and rice roast, with egg, homemade",DR,0.1,N,,0.12,0.04,1.5,1.3,2.8,N,0.1,16,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-820,"Lentil cutlets, fried in vegetable oil, homemade",DR,0,N,,0.22,0.07,0.9,1.1,2,0.22,Tr,17,0.42,N,7,,,,,,,,,,,,,,,,,,,,,,,
15-821,"Lentil pie, homemade",DR,0,N,,0.22,0.06,0.9,1.2,2.1,0.16,Tr,27,N,N,6,,,,,,,,,,,,,,,,,,,,,,,
15-198,"Lentil roast, homemade",DR,0,0.64,,0.14,0.05,1.1,1.2,2.3,0.16,0,13,N,N,2,,,,,,,,,,,,,,,,,,,,,,,
15-199,"Lentil roast, with egg, homemade",DR,0.2,0.69,,0.14,0.08,1,1.4,2.4,0.15,0.2,14,N,N,2,,,,,,,,,,,,,,,,,,,,,,,
13-661,"Lentils, green and brown, whole, dried, boiled in unsalted water",DB,0,0.61,,0.1,0.04,1.8,0.9,2.7,0.19,0,152,0.33,0.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-089,"Lentils, green and brown, whole, dried, raw",DB,0,N,,0.41,0.27,2.2,3.3,5.5,0.93,0,110,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-658,"Lentils, red, split, dried, boiled in unsalted water",DB,0,0.34,,0.13,0.04,0.7,0.9,1.6,0.07,0,36,0.33,0.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-657,"Lentils, red, split, dried, raw",DB,0,1.11,,0.57,0.16,3,2.9,5.9,0.32,0,164,1.29,2.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-520,"Lettuce, average, raw",DG,0,0.64,129,0.14,0.05,0.5,0.1,0.7,0.02,0,60,0.19,0.7,1,,,,,,,,,,,,,,,,,,,,,,,
17-201,"Lime juice cordial, diluted",PCC,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
17-200,"Lime juice cordial, undiluted",PCC,0,Tr,,Tr,Tr,Tr,Tr,Tr,Tr,0,Tr,Tr,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-279,"Lime juice, fresh",FC,0,N,,0.02,0.01,0.1,Tr,0.1,0.04,0,N,0.14,N,38,,,,,,,,,,,,,,,,,,,,,,,
14-131,"Limes, flesh only",FA,0,N,,0.03,0.02,0.2,0.1,0.3,0.08,0,8,0.22,N,46,,,,,,,,,,,,,,,,,,,,,,,
14-132,"Limes, flesh only, weighed with peel and pips",FA,0,N,,0.02,0.01,0.1,0.1,0.2,0.06,0,6,0.16,N,34,,,,,,,,,,,,,,,,,,,,,,,
16-091,"Ling, raw",JA,Tr,0.3,,0.11,0.08,2.3,3.5,5.8,0.3,1,N,0.32,1,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-768,"Liqueurs, cream",QI,Tr,0.57,,N,N,N,N,N,N,Tr,Tr,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
17-244,"Liqueurs, high strength",QI,0,0,,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
17-245,"Liqueurs, low-medium strength",QI,0,0,,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
17-777,Liquorice allsorts,SEC,0,0,,0,0,0,0.2,0.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
13-833,Liquorice powder,H,0,N,,N,N,N,N,N,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
19-603,"Liver and bacon, fried, homemade",MR,0.8,0.27,,0.48,4.55,17.3,4.8,22.1,0.53,66.6,166,6.65,0,15,,,,,,,,,,,,,,,,,,,,,,,
19-604,"Liver and onions, stewed, homemade",MR,0.3,1.3,,0.28,2.58,9.2,3.2,9.2,0.32,29.9,146,4.56,25.9,14,,,,,,,,,,,,,,,,,,,,,,,
19-106,Liver sausage,MI,0.6,0.1,,0.36,1.16,3.7,2.4,6.1,0.25,10,36,1.5,7,Tr,,,,,,,,,,,,,,,,,,,,,,,
18-410,"Liver, calf, fried in corn oil",MG,0.3,0.5,,0.61,2.89,13.6,5.8,19.4,0.89,58,110,4.1,50,19,,,,,,,,,,,,,,,,,,,,,,,
18-409,"Liver, calf, raw",MG,0.3,0.45,,0.22,2.52,12.5,4.3,16.8,0.48,68,155,8.4,39,21,,,,,,,,,,,,,,,,,,,,,,,
18-412,"Liver, chicken, fried in corn oil",MG,N,0.34,,0.63,2.72,12.9,4.4,17.3,0.55,45,1350,5.9,216,23,,,,,,,,,,,,,,,,,,,,,,,
18-411,"Liver, chicken, raw",MG,0.2,0.6,,0.48,2.16,10.6,4.1,14.7,0.82,35,995,6.1,210,28,,,,,,,,,,,,,,,,,,,,,,,
18-494,"Liver, lamb, fried in corn oil",MG,0.9,0.32,,0.38,5.65,19.9,4.9,24.8,0.53,83,207,8,33,19,,,,,,,,,,,,,,,,,,,,,,,
18-413,"Liver, lamb, raw",MG,0.5,0.77,,0.39,4.64,16.4,4.3,20.7,0.47,54,205,8.2,41,19,,,,,,,,,,,,,,,,,,,,,,,
18-415,"Liver, ox, raw",MG,1.1,0.42,,0.23,3.1,13.4,4.5,17.9,0.83,110,330,8.1,33,23,,,,,,,,,,,,,,,,,,,,,,,
18-416,"Liver, ox, stewed",MG,1.1,0.44,,0.18,3.6,10.3,5.3,15.6,0.52,110,290,5.7,50,15,,,,,,,,,,,,,,,,,,,,,,,
18-417,"Liver, pig, raw",MG,1.1,0.33,,0.42,3.36,14.8,4.6,19.4,0.59,23,295,6.5,27,21,,,,,,,,,,,,,,,,,,,,,,,
18-418,"Liver, pig, stewed",MG,1.1,0.16,,0.21,3.1,11.5,5.5,17,0.64,26,110,4.6,34,9,,,,,,,,,,,,,,,,,,,,,,,
16-332,"Lobster, boiled",JK,Tr,1.47,,0.08,0.05,1.5,4.1,5.6,0.08,3,9,1,7,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-343,"Lobster, boiled, weighed with shell",JK,Tr,0.53,,0.03,0.02,0.5,1.5,2,0.03,1,3,0.36,2,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-133,"Loganberries, raw",FA,0,0.48,,0.03,0.05,0.5,0.2,0.7,0.06,0,33,0.24,1.9,35,,,,,,,,,,,,,,,,,,,,,,,
14-134,"Loganberries, stewed with sugar",FA,0,0.38,,0.02,0.03,0.3,0.2,0.5,0.04,0,5,0.14,1.1,21,,,,,,,,,,,,,,,,,,,,,,,
14-135,"Loganberries, stewed without sugar",FA,0,0.41,,0.02,0.03,0.3,0.2,0.5,0.04,0,5,0.15,1.2,22,,,,,,,,,,,,,,,,,,,,,,,
12-390,"Lollies, containing ice-cream",BP,0.5,0.51,,0.02,0.09,0.1,0.4,0.5,0.04,0.2,8,0.3,3,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-389,"Lollies, with real fruit juice",BP,Tr,Tr,,0.04,N,N,N,N,Tr,Tr,N,N,N,7,,,,,,,,,,,,,,,,,,,,,,,
14-138,"Longans, canned in syrup, drained",FA,0,N,,Tr,0.08,0.1,N,N,N,0,N,N,N,68,,,,,,,,,,,,,,,,,,,,,,,
14-139,"Longans, canned in syrup, whole contents",FA,0,N,,Tr,0.04,0.1,N,N,N,0,N,N,N,63,,,,,,,,,,,,,,,,,,,,,,,
14-137,"Longans, flesh only, dried",FA,0,N,,0.04,0.5,1,N,N,N,0,N,N,N,28,,,,,,,,,,,,,,,,,,,,,,,
14-140,"Loquats, flesh only, raw",FA,0,N,,0.02,0.03,0.2,N,N,N,0,N,N,N,3,,,,,,,,,,,,,,,,,,,,,,,
13-271,"Lotus tubers, raw",DG,0,N,,0.1,0.1,0.3,0.2,0.5,N,0,N,N,N,35,,,,,,,,,,,,,,,,,,,,,,,
17-761,Lucozade,PCA,0,0,,Tr,Tr,Tr,Tr,Tr,Tr,Tr,1,Tr,Tr,8,,,,,,,,,,,,,,,,,,,,,,,
19-136,"Luncheon meat, Chinese, steamed",MI,N,N,,0.14,0.13,2.3,N,N,N,1,1,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
14-143,"Lychees, flesh only, raw, weighed with skin and stone",FA,0,N,,0.02,0.04,0.3,Tr,0.3,N,0,N,N,N,28,,,,,,,,,,,,,,,,,,,,,,,
14-142,"Lychees, raw, flesh only",FA,0,N,,0.04,0.06,0.5,0.1,0.6,N,0,N,N,N,45,,,,,,,,,,,,,,,,,,,,,,,
14-891,"Macadamia nuts, salted",G,0,1.49,,0.28,0.06,1.6,1.7,3.3,0.28,0,N,0.61,6,0,,,,,,,,,,,,,,,,,,,,,,,
11-954,"Macaroni cheese, homemade",AD,N,N,,0.04,0.16,0.5,1.8,2.3,0.06,0.7,6,0.41,2.3,1,,,,,,,,,,,,,,,,,,,,,,,
12-951,"Macaroon, homemade",CDH,0,7.64,,0.08,0.34,1.1,1.9,3,0.06,0.1,18,0.21,23.1,0,,,,,,,,,,,,,,,,,,,,,,,
13-834,"Mace, ground",H,0,N,,0.31,0.45,1.3,N,N,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
16-394,"Mackerel, flesh only, grilled",JC,8.5,0.46,,0.14,0.37,11.1,4.4,15.5,0.27,9.1,1,0.57,5.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-479,"Mackerel, flesh only, grilled, fillets weighed with bones and skin",JC,8.3,0.45,,0.14,0.36,10.9,4.3,15.2,0.26,8.9,1,0.56,5.1,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-393,"Mackerel, flesh only, raw",JC,8,0.43,,0.17,0.3,11.3,4.4,15.7,0.4,8.8,1,0.63,5.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-414,"Mackerel, flesh only, smoked",JC,8.2,0.46,,0.15,0.37,6.9,4.6,11.5,0.28,10.2,4,0.61,4,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-651,Maltesers and similar products,SEA,Tr,0.84,,0.04,0.47,0.6,1.4,2,0.02,1.3,14,0.78,4.6,0,,,,,,,,,,,,,,,,,,,,,,,
14-145,"Mammie apple, flesh only",FA,0,N,,0.02,0.04,0.4,0.1,0.5,N,0,N,0.1,N,15,,,,,,,,,,,,,,,,,,,,,,,
14-146,"Mandarin oranges, canned in juice, whole contents",FA,0,Tr,,0.08,0.01,0.2,0.1,0.3,0.03,0,12,0.15,0.8,20,,,,,,,,,,,,,,,,,,,,,,,
13-273,"Mango, unripe, green flesh, raw",DG,0,0.29,,0.03,0.03,0.3,0.1,0.4,N,0,N,N,N,90,,,,,,,,,,,,,,,,,,,,,,,
14-378,"Mangoes, ripe, flesh only, raw",FA,0,0.96,0.52,0.05,0.03,0.9,0.1,1,0.07,0,24,0.19,0.6,26,,,,,,,,,,,,,,,,,,,,,,,
14-379,"Mangoes, ripe, flesh only, raw, weighed with skin and stone",FA,0,0.61,0.33,0.03,0.02,0.6,0.1,0.7,0.04,0,15,0.12,0.4,16,,,,,,,,,,,,,,,,,,,,,,,
14-151,"Mangosteen, flesh only",FA,0,N,,0.05,0.01,0.3,0.1,0.4,N,0,N,N,N,3,,,,,,,,,,,,,,,,,,,,,,,
13-835,"Marjoram, dried",H,0,N,,0.29,0.32,4.1,N,N,0,N,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
17-078,Marmalade,SC,0,Tr,,Tr,Tr,Tr,Tr,Tr,Tr,0,5,Tr,Tr,10,,,,,,,,,,,,,,,,,,,,,,,
13-276,"Marrow, boiled in unsalted water",DG,0,Tr,2.4,0.08,Tr,0.2,0.1,0.3,0.01,0,15,0.07,0.4,3,,,,,,,,,,,,,,,,,,,,,,,
13-277,"Marrow, parwal, raw",DG,0,Tr,,0.06,0.08,0.8,0.3,1.1,N,0,29,N,N,18,,,,,,,,,,,,,,,,,,,,,,,
13-274,"Marrow, raw",DG,0,Tr,,0.08,Tr,0.2,0.1,0.3,0.03,0,13,0.1,0.4,11,,,,,,,,,,,,,,,,,,,,,,,
17-668,Mars bar and own brand equivalents,SEA,0.1,2,4.8,0.17,0.2,0.4,1,1.4,0.03,Tr,5,0.54,1.5,0,,,,,,,,,,,,,,,,,,,,,,,
17-114,Marshmallows,SEC,0,0,,0,0,Tr,Tr,Tr,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
14-893,"Marzipan, homemade",GA,0.2,10.83,,0.1,0.37,1.4,1.8,3.2,0.08,0.2,25,0.3,30.1,1,,,,,,,,,,,,,,,,,,,,,,,
14-875,"Marzipan, white and yellow, retail",GA,0,6.18,,0.05,0.19,0.7,0.9,1.6,0.04,0,12,0.11,16,0,,,,,,,,,,,,,,,,,,,,,,,
13-588,"Matoki, boiled in unsalted water",DG,0,N,,0.05,0.08,0.4,0.2,0.6,0.27,0,44,N,N,8,,,,,,,,,,,,,,,,,,,,,,,
13-279,"Matoki, raw",DG,0,N,,0.08,0.1,0.4,0.2,0.6,0.37,0,73,N,N,14,,,,,,,,,,,,,,,,,,,,,,,
17-809,"Mayonnaise, homemade",WC,0.4,4.4,,0.06,0.07,0,0.6,0.6,0.04,0.3,6,0.6,6.2,1,,,,,,,,,,,,,,,,,,,,,,,
17-679,"Mayonnaise, reduced fat",WCG,Tr,8.33,,Tr,0.21,Tr,0.2,0.2,0.19,0.6,18,0.32,1.4,0,,,,,,,,,,,,,,,,,,,,,,,
17-654,"Mayonnaise, standard, retail",WCG,Tr,22.1,,Tr,0.1,Tr,0.1,0.1,0.09,0.3,9,0.15,0.7,Tr,,,,,,,,,,,,,,,,,,,,,,,
15-822,"Mchicha, homemade",DR,0,2.86,,0.09,0.09,1.3,0.9,1.3,0.18,0,69,0.4,0.5,17,,,,,,,,,,,,,,,,,,,,,,,
19-605,"Meat loaf, homemade",MR,0.8,0.36,,0.33,0.15,3.9,3.2,7.1,0.2,1,8,0.66,2.3,0,,,,,,,,,,,,,,,,,,,,,,,
19-326,"Meat samosas, takeaway",MR,0.3,0.55,,0.21,0.09,2.3,2.2,4.5,0.15,1,6,0.75,2,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-506,Meat spread,MI,N,0.49,,0.07,0.19,3.4,1.8,5.2,0.13,3,6,0.75,4,0,,,,,,,,,,,,,,,,,,,,,,,
19-613,"Meatballs, pork and beef, in tomato sauce, homemade",MR,0.4,0.99,,0.19,0.1,2.4,1.9,4.3,0.21,0.6,11,0.44,N,20,,,,,,,,,,,,,,,,,,,,,,,
14-152,"Medlars, flesh only",FA,0,N,,N,N,N,0.1,N,N,0,N,N,N,2,,,,,,,,,,,,,,,,,,,,,,,
14-826,Melon seeds,GA,0,N,,0.17,0.15,2.1,9.7,11.8,N,0,58,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-339,"Melon, Canteloupe-type, flesh only",FA,0,0.1,,0.04,0.02,0.6,Tr,0.6,0.11,0,5,0.13,N,26,,,,,,,,,,,,,,,,,,,,,,,
14-352,"Melon, Canteloupe-type, flesh only, weighed whole",FA,0,0.06,,0.02,0.01,0.3,Tr,0.3,0.06,0,3,0.08,N,15,,,,,,,,,,,,,,,,,,,,,,,
14-353,"Melon, Canteloupe-type, flesh only, weighed with skin",FA,0,0.1,,0.03,0.01,0.4,Tr,0.4,0.07,0,3,0.09,N,17,,,,,,,,,,,,,,,,,,,,,,,
14-354,"Melon, flesh only, average",FA,0,0.09,,0.05,0.01,0.5,Tr,0.5,0.09,0,7,0.18,N,16,,,,,,,,,,,,,,,,,,,,,,,
14-355,"Melon, flesh only, average, weighed whole",FA,0,0.06,,0.03,0.01,0.3,Tr,0.3,0.06,0,4,0.11,N,10,,,,,,,,,,,,,,,,,,,,,,,
14-356,"Melon, flesh only, average, weighed with skin",FA,0,0.06,,0.03,0.01,0.3,Tr,0.3,0.06,0,5,0.12,N,11,,,,,,,,,,,,,,,,,,,,,,,
14-159,"Melon, Galia, flesh only",FA,0,0.1,,0.03,0.01,0.4,Tr,0.4,0.09,0,3,0.17,N,15,,,,,,,,,,,,,,,,,,,,,,,
14-160,"Melon, Galia, flesh only, weighed whole",FA,0,0.06,,0.02,0.01,0.3,Tr,0.3,0.06,0,2,0.11,N,10,,,,,,,,,,,,,,,,,,,,,,,
14-161,"Melon, Galia, flesh only, weighed with skin",FA,0,0.07,,0.02,0.01,0.3,Tr,0.3,0.06,0,2,0.12,N,10,,,,,,,,,,,,,,,,,,,,,,,
14-357,"Melon, Honeydew, flesh only, weighed whole",FA,0,0.04,,0.04,0.01,0.2,0.1,0.3,0.04,0,1,0.14,1.5,5,,,,,,,,,,,,,,,,,,,,,,,
14-358,"Melon, Honeydew, flesh only, weighed with skin",FA,0,0.04,,0.04,0.01,0.3,0.1,0.4,0.04,0,1,0.15,1.6,6,,,,,,,,,,,,,,,,,,,,,,,
14-296,"Melon, watermelon, flesh only",FA,0,0.1,0.3,0.05,0.01,0.1,Tr,0.1,0.14,0,2,0.21,1,8,,,,,,,,,,,,,,,,,,,,,,,
14-309,"Melon, watermelon, flesh only, weighed whole",FA,0,0.06,0.17,0.03,0.01,0.1,Tr,0.1,0.08,0,1,0.12,0.6,5,,,,,,,,,,,,,,,,,,,,,,,
14-328,"Melon, yellow flesh, flesh only",FA,0,0.07,,0.07,0.01,0.4,0.1,0.5,0.07,0,13,0.24,2.6,8,,,,,,,,,,,,,,,,,,,,,,,
12-517,"Meringue, homemade",BR,0,0,,0.01,0.21,Tr,1.6,1.6,0.02,0.2,3,0.12,3.3,0,,,,,,,,,,,,,,,,,,,,,,,
12-585,"Meringue, with cream, homemade",BR,0.2,0.79,,0.01,0.16,Tr,0.7,0.7,0.03,0.2,5,0.16,1.7,1,,,,,,,,,,,,,,,,,,,,,,,
15-628,"Methi aloo, homemade",DR,0,4.21,,0.01,0.21,0.3,N,N,0.1,0,24,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
11-1091,"Milk bread, homemade",AF,N,N,,0.17,0.16,1.5,1.7,3.2,0.11,0.3,55,0.47,4.1,1,,,,,,,,,,,,,,,,,,,,,,,
12-513,"Milk drink, fermented, with probiotics",BH,N,N,,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
17-733,"Milk shake, powder",PAA,7.1,0.15,,1.2,N,25,0.3,25.3,1.8,0,200,N,N,67,,,,,,,,,,,,,,,,,,,,,,,
12-589,"Milk shake, powder, made up with semi-skimmed milk",BH,0.5,0.05,,0.11,N,1.9,0.6,2.5,0.18,0.8,22,N,N,7,,,,,,,,,,,,,,,,,,,,,,,
12-590,"Milk shake, powder, made up with skimmed milk",BH,0.5,0.01,0.02,0.11,N,1.9,0.6,2.5,0.18,0.8,22,N,N,6,,,,,,,,,,,,,,,,,,,,,,,
12-591,"Milk shake, powder, made up with whole milk",BH,0.5,0.07,0.56,0.11,N,1.9,0.6,2.5,0.18,0.8,21,N,N,7,,,,,,,,,,,,,,,,,,,,,,,
12-512,"Milk, 1% fat, pasteurised",BA,Tr,0.02,,0.03,0.23,0.1,0.7,0.8,0.06,0.9,9,0.59,2.8,2,,,,,,,,,,,,,,,,,,,,,,,
12-321,"Milk, Channel Islands, whole, pasteurised",BAB,0.1,0.17,0.87,0.04,0.22,0.1,0.6,0.6,0.03,0.8,6,0.38,1.9,1,,,,,,,,,,,,,,,,,,,,,,,
12-322,"Milk, Channel islands, whole, summer",BAB,0.1,0.17,,0.04,0.22,0.1,0.6,0.6,0.03,0.8,6,0.38,1.9,1,,,,,,,,,,,,,,,,,,,,,,,
12-323,"Milk, Channel islands, whole, winter",BAB,0.1,0.17,,0.04,0.22,0.1,0.6,0.6,0.03,0.8,6,0.38,1.9,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-520,"Milk, condensed, whole, sweetened",BAR,Tr,0.19,0.36,0.09,0.46,0.3,2,2.3,0.07,0.7,15,0.85,3.9,4,,,,,,,,,,,,,,,,,,,,,,,
12-324,"Milk, evaporated, light",BAR,3.1,0.11,,0.07,0.42,0.2,2,2.2,0.04,0.2,8,0.75,4,1,,,,,,,,,,,,,,,,,,,,,,,
12-522,"Milk, evaporated, whole",BAR,2.7,0.19,0.5,0.07,0.42,0.2,2,2.2,0.07,0.1,11,0.75,4,1,,,,,,,,,,,,,,,,,,,,,,,
12-535,"Milk, flavoured, pasteurised, chocolate",BAR,Tr,0.03,,0.03,0.17,0.1,0.8,0.9,0.03,0.1,2,0.3,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-326,"Milk, flavoured, pasteurised, strawberry, banana",BAR,Tr,0.03,,0.03,0.17,0.1,0.8,0.9,0.03,0.1,2,0.3,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-328,"Milk, goats, pasteurised",BC,0.1,0.03,0.53,0.03,0.04,0.1,0.7,0.8,0.06,0.1,1,0.41,3,1,,,,,,,,,,,,,,,,,,,,,,,
12-038,"Milk, human, colostrum",BC,N,1.3,,Tr,0.03,0.1,0.7,0.8,Tr,0.1,2,0.12,Tr,7,,,,,,,,,,,,,,,,,,,,,,,
12-536,"Milk, human, mature",BC,N,0.34,,0.02,0.03,0.2,0.5,0.7,0.01,Tr,5,0.25,0.7,4,,,,,,,,,,,,,,,,,,,,,,,
12-039,"Milk, human, transitional",BC,N,0.48,,0.01,0.03,0.1,0.5,0.6,Tr,0,3,0.2,0.2,6,,,,,,,,,,,,,,,,,,,,,,,
12-313,"Milk, semi-skimmed, pasteurised, average",BAH,Tr,0.04,,0.03,0.24,0.1,0.6,0.7,0.06,0.9,9,0.68,3,2,,,,,,,,,,,,,,,,,,,,,,,
12-418,"Milk, semi-skimmed, pasteurised, summer and autumn",BAH,Tr,0.05,,0.03,0.24,0.2,0.6,0.8,0.06,0.8,7,0.57,2.9,2,,,,,,,,,,,,,,,,,,,,,,,
12-419,"Milk, semi-skimmed, pasteurised, winter and spring",BAH,Tr,0.03,,0.03,0.24,0.1,0.7,0.8,0.06,0.9,11,0.8,3,2,,,,,,,,,,,,,,,,,,,,,,,
12-314,"Milk, semi-skimmed, UHT",BAH,Tr,0.03,,0.04,0.18,0.1,0.8,0.9,0.05,0.2,2,0.33,1.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-329,"Milk, sheeps, raw",BC,0.2,0.11,,0.08,0.32,0.4,1.3,1.7,0.08,0.6,5,0.45,2.5,5,,,,,,,,,,,,,,,,,,,,,,,
12-521,"Milk, skimmed, dried, fortified",BAR,1.5,0.01,,0.38,1.63,1,8.6,9.6,0.6,2.6,51,3.28,20.1,13,,,,,,,,,,,,,,,,,,,,,,,
12-307,"Milk, skimmed, pasteurised, average",BAE,Tr,Tr,0.02,0.03,0.22,0.1,0.7,0.8,0.06,0.8,9,0.5,2.5,1,,,,,,,,,,,,,,,,,,,,,,,
12-308,"Milk, skimmed, pasteurised, summer",BAE,Tr,Tr,,0.03,0.21,0.1,0.6,0.8,0.06,0.8,3,0.55,2.1,1,,,,,,,,,,,,,,,,,,,,,,,
12-309,"Milk, skimmed, pasteurised, winter",BAE,Tr,Tr,,0.03,0.22,0.1,0.8,0.9,0.06,0.7,14,0.33,3.5,1,,,,,,,,,,,,,,,,,,,,,,,
12-554,"Milk, skimmed, UHT",BAE,Tr,0.02,,0.04,0.17,0.1,0.8,0.9,0.02,0.6,1,0.41,1.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-523,"Milk, soya, non-dairy alternative to milk, sweetened, fortified",BC,0.8,0.32,0.69,0.06,0.2,0.1,0.7,0.8,0.03,0.4,9,Tr,1,1,,,,,,,,,,,,,,,,,,,,,,,
12-524,"Milk, soya, non-dairy alternative to milk, unsweetened, fortified",BC,0.8,0.32,1.71,0.06,0.2,0.1,0.7,0.8,0.03,0.4,14,Tr,1,0,,,,,,,,,,,,,,,,,,,,,,,
12-596,"Milk, whole, pasteurised, average",BAK,Tr,0.06,0.6,0.03,0.23,0.2,0.6,0.8,0.06,0.9,8,0.58,2.5,2,,,,,,,,,,,,,,,,,,,,,,,
12-598,"Milk, whole, pasteurised, summer and autumn",BAK,Tr,0.08,,0.03,0.24,0.2,0.5,0.6,0.06,0.9,6,0.57,2.3,2,,,,,,,,,,,,,,,,,,,,,,,
12-597,"Milk, whole, pasteurised, winter and spring",BAK,Tr,0.05,,0.03,0.22,0.2,0.7,0.9,0.07,0.8,9,0.6,2.8,2,,,,,,,,,,,,,,,,,,,,,,,
12-320,"Milk, whole, UHT",BAK,0,0.08,,0.04,0.18,0.1,0.8,0.9,0.04,0.2,1,0.32,1.8,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-327,"Milkshake, thick, takeaway",BAR,Tr,0.1,,0.03,0.23,0.1,0.7,0.8,0.03,0.5,4,0.31,2,1,,,,,,,,,,,,,,,,,,,,,,,
17-669,Milky Way and own brand equivalents,SEA,0.2,1.96,,0.18,0.21,0.4,1,1.4,0.03,Tr,5,0.56,1.7,0,,,,,,,,,,,,,,,,,,,,,,,
11-1092,"Mince pies, homemade, individual",AP,Tr,N,,0.06,0.01,0.7,0.8,1.5,0.07,Tr,6,0.21,1.3,1,,,,,,,,,,,,,,,,,,,,,,,
11-848,"Mince pies, retail",AS,Tr,2.06,,0.11,0.01,1,0.7,1.7,0.04,Tr,14,0.2,2.4,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-765,Mincemeat,SC,Tr,N,,0.04,0.02,0.4,0.1,0.5,0.1,Tr,8,0.03,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-852,"Mincemeat, vegetarian, homemade",S,0,N,,N,N,N,0.1,N,N,Tr,N,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
11-825,"Minibreads, toasted, retail",AM,0,2.93,,0.09,0.02,1.5,2.1,3.6,0.1,Tr,21,0.6,2,0,,,,,,,,,,,,,,,,,,,,,,,
17-707,Mint sauce,WCN,0,Tr,,Tr,Tr,Tr,0.3,0.3,Tr,0,Tr,Tr,Tr,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-811,"Mint sauce, homemade",WC,0,0.87,,0.02,0.06,0.2,N,N,N,0,19,N,N,5,,,,,,,,,,,,,,,,,,,,,,,
