Food Code,Food Name,Group,Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),,,,,,,,,,,,,,,,,,,,,,,
16-001,"Ayr, raw",JA,Tr,N,,N,N,0.5,3,3.5,N,N,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-043,"Babaco, flesh only",FA,0,N,,0.03,0.04,0.7,N,N,N,0,N,N,N,26,,,,,,,,,,,,,,,,,,,,,,,
16-169,"Bacha, raw",JC,N,N,,N,N,0.6,3.4,4,N,N,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-644,"Bacon loin steaks, lean, grilled",MAA,0.3,0.04,,1.19,0.13,7.8,4.8,12.6,0.58,1,3,1.35,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-645,"Bacon rashers, back, dry-cured, grilled",MAA,0.8,0.08,,1.09,0.19,8.5,3.5,12,0.56,1,3,1.48,6,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-498,"Bacon rashers, back, dry-fried",MAA,0.6,0.07,,0.86,0.14,6.8,4.4,11.2,0.53,1,2,1.26,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-499,"Bacon rashers, back, fat trimmed, grilled",MAA,0.7,0.07,,0.98,0.17,7.7,4.7,12.4,0.5,1,3,1.34,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-646,"Bacon rashers, back, fat trimmed, raw",MAA,0.5,0.05,Tr,0.68,0.12,5.4,3.3,8.7,0.35,1,2,0.93,4,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-500,"Bacon rashers, back, grilled",MAA,0.6,0.07,,1.16,0.15,7.2,3.8,11,0.52,1,5,1.24,3,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-501,"Bacon rashers, back, grilled crispy",MAA,1,0.1,,1.38,0.24,10.8,6.6,17.4,0.71,1,4,1.34,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-502,"Bacon rashers, back, microwaved",MAA,0.6,0.07,,1.1,0.16,7.9,4.4,12.3,0.55,1,2,1.26,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-497,"Bacon rashers, back, raw",MAA,0.3,0.02,,0.63,0.11,5.6,2.6,8.2,0.46,Tr,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
19-009,"Bacon rashers, back, reduced salt, grilled",MAA,0.6,0.07,,0.92,0.16,7.2,4.4,11.6,0.47,1,2,1.25,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-659,"Bacon rashers, back, smoked, grilled",MAA,0.6,0.07,,0.9,0.16,7,4.3,11.3,0.46,1,2,1.22,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-647,"Bacon rashers, back, sweetcure, grilled",MAA,0.6,0.07,,0.91,0.16,7.1,4.4,11.5,0.47,1,3,1.24,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-660,"Bacon rashers, back, 'tendersweet', grilled",MAA,0.6,0.08,,1.01,0.18,7.9,4.8,12.7,0.51,1,3,1.37,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-648,"Bacon rashers, middle, fried in corn oil",MAA,0.6,N,,0.64,0.14,7.3,4.3,11.6,0.46,1,6,1.22,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-503,"Bacon rashers, middle, grilled",MAA,0.6,0.13,,0.77,0.17,7.5,5.1,12.6,0.42,1,3,1.27,6,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-649,"Bacon rashers, middle, raw",MAA,0.5,0.07,,0.58,0.11,4.9,2.5,7.4,0.41,1,5,0.99,3,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-504,"Bacon rashers, streaky, fried in corn oil",MAA,0.6,N,,0.75,0.14,7.1,4.4,11.5,0.47,1,1,1.24,5,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-018,"Bacon rashers, streaky, grilled",MAA,0.7,0.07,,0.7,0.17,6.3,4.3,10.6,0.4,1,3,1.22,4,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-016,"Bacon rashers, streaky, raw",MAA,0.9,0.07,,0.45,0.14,4.7,2.7,7.4,0.3,1,3,0.92,2,Tr,,,,,,,,,,,,,,,,,,,,,,,
19-537,"Bacon, fat only, average, cooked",MAA,N,0.36,Tr,N,N,N,1.7,N,N,Tr,Tr,N,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
19-650,"Bacon, fat only, average, raw",MAA,Tr,0.11,,N,N,N,0.9,N,N,Tr,Tr,N,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
11-970,"Bagels, plain",AP,0,N,,N,N,N,N,N,N,0,N,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
13-578,"Baked beans, canned in barbecue sauce",DB,0,N,,N,N,N,0.9,N,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-532,"Baked beans, canned in tomato sauce",DB,0,0.35,,0.21,0.03,0.7,1,1.7,0.13,0,29,0.11,2.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",DB,0,0.35,,0.21,0.03,0.7,1,1.7,0.13,0,29,0.11,2.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-579,"Baked beans, canned in tomato sauce, with pork sausages",DB,Tr,N,,0.08,0.07,0.1,1.1,1.2,0.12,N,16,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,8.8,12.2,,Tr,Tr,Tr,Tr,Tr,Tr,0,Tr,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
17-355,Baking powder,WY,0,Tr,,Tr,Tr,Tr,1,1,Tr,0,Tr,Tr,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
11-1029,"Banana bread, homemade",AN,N,N,,0.11,0.07,0.6,0.9,1.5,0.17,0.2,11,0.32,4.1,2,,,,,,,,,,,,,,,,,,,,,,,
12-556,"Banana split, homemade",BP,0,0.83,,0.14,0.16,0.6,0.5,1.1,0.13,0.4,12,0.39,3.8,4,,,,,,,,,,,,,,,,,,,,,,,
14-318,"Bananas, flesh only",FA,0,0.16,0.06,0.15,0.04,0.7,0.2,0.9,0.31,0,14,0.35,2.5,9,,,,,,,,,,,,,,,,,,,,,,,
14-347,"Bananas, raw, flesh only, weighed with skin",FA,0,0.1,0.04,0.09,0.03,0.5,0.2,0.7,0.2,0,9,0.22,1.6,5,,,,,,,,,,,,,,,,,,,,,,,
11-1030,"Bannocks, made with beremeal, homemade",AF,Tr,0.63,,0.19,0.12,3,2.2,5.2,0.27,0,17,0.45,6.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
11-951,"Bannocks, made with wheat flour, homemade",AF,Tr,0.46,,0.18,0.09,1.3,1.9,3.2,0.12,0,8,0.35,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-705,Barbecue sauce,WCN,0,0.91,,0.03,0.02,0.4,0.1,0.5,0.04,0,5,0.1,1,3,,,,,,,,,,,,,,,,,,,,,,,
17-769,"Barbecue sauce, homemade",WC,0.2,0.77,,0.1,0.17,0.6,0.7,1.3,0.12,0.1,5,0.1,0.7,2,,,,,,,,,,,,,,,,,,,,,,,
14-804,"Barcelona nuts, Kernel only",GA,0,N,,0.11,N,N,3.1,N,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
14-805,"Barcelona nuts, kernel only, weighed with shells",GA,0,N,,0.07,N,N,1.9,N,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
17-844,"Barley water, diluted",PCC,0,N,,Tr,Tr,0,Tr,Tr,0,0,1,Tr,Tr,2,,,,,,,,,,,,,,,,,,,,,,,
17-743,"Barley water, undiluted",PCC,0,N,,Tr,Tr,0.1,Tr,0.1,0.01,0,5,Tr,Tr,10,,,,,,,,,,,,,,,,,,,,,,,
11-003,"Barley, pearl, boiled",AA,0,0.1,,0.02,0.01,0.5,0.8,1.3,0.04,0,3,0.1,Tr,0,,,,,,,,,,,,,,,,,,,,,,,
11-002,"Barley, pearl, raw",AA,0,0.4,,0.12,0.05,2.5,2.3,4.8,0.22,0,20,0.5,N,0,,,,,,,,,,,,,,,,,,,,,,,
13-805,"Basil, dried, ground",H,0,N,,0.15,0.32,6.9,3.7,1.6,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
13-804,"Basil, fresh",H,0,N,,0.08,0.31,1.1,N,N,N,0,N,N,N,26,,,,,,,,,,,,,,,,,,,,,,,
16-386,"Bass, sea, flesh only, baked",JA,Tr,0.33,,0.19,0.18,2.6,4.9,7.5,0.14,2.9,4,0.63,2.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-463,"Bass, sea, flesh only, baked, weighed with bones and skin",JA,Tr,0.29,,0.17,0.16,2.3,4.4,6.7,0.12,2.6,4,0.56,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-385,"Bass, sea, flesh only, raw",JA,Tr,0.48,,0.39,0.2,3,4.4,7.4,0.37,3,5,0.73,2.5,Tr,,,,,,,,,,,,,,,,,,,,,,,
16-464,"Bass, sea, flesh only, raw, weighed with bones and skin",JA,Tr,0.41,,0.34,0.17,2.6,3.8,6.4,0.32,2.6,4,0.63,2.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-806,"Bay leaf, dried",H,0,N,,0.01,0.42,2,1.9,3.9,N,0,0,N,N,0,,,,,,,,,,,,,,,,,,,,,,,
15-664,"Bean loaf, mixed beans, homemade",DR,0,1.98,,0.2,0.08,1.1,1.3,2.4,0.15,0,52,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
15-665,"Beanburger, aduki, fried in rapeseed oil, homemade",DR,0.3,N,15.47,0.22,0.1,0.8,1.6,2.4,N,0.2,N,N,N,4,,,,,,,,,,,,,,,,,,,,,,,
15-666,"Beanburger, butter bean, fried in rapeseed oil, homemade",DR,0,N,11.14,0.67,0.23,1.4,1.9,3.3,0.28,2.2,387,N,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-667,"Beanburger, red kidney bean, fried in rapeseed oil",DR,0,2.26,11.14,0.33,0.25,1.6,1.2,2.3,0.14,0.3,57,0.2,N,1,,,,,,,,,,,,,,,,,,,,,,,
15-668,"Beanburger, soya, fried in rapeseed oil",DR,0.3,2.28,14.74,0.24,0.1,0.8,1.9,2.1,0.19,0.2,39,0.27,17.8,5,,,,,,,,,,,,,,,,,,,,,,,
13-042,"Beans, aduki, whole, dried, boiled in unsalted water",DB,0,N,,0.14,0.08,0.9,1.5,2.4,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-041,"Beans, aduki, whole, dried, raw",DB,0,N,,0.45,0.22,2.6,3.2,5.8,N,0,N,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-049,"Beans, balor, ends trimmed, raw",DB,0,N,,0.12,0.1,0.5,0.4,0.9,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
13-063,"Beans, blackeye, whole, dried, boiled in unsalted water",DB,0,N,,0.19,0.05,0.5,1.9,2.4,0.1,0,210,0.3,7,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-062,"Beans, blackeye, whole, dried, raw",DB,0,N,,0.87,0.19,2.1,5,7.1,0.36,0,630,1.5,18.4,1,,,,,,,,,,,,,,,,,,,,,,,
13-067,"Beans, broad, dried, raw",DB,0,N,,0.5,0.26,2.6,4.2,6.8,0.37,0,N,0.97,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-648,"Beans, broad, whole, boiled in unsalted water",DB,0,0.4,,0.15,0.14,1.7,1.2,2.9,0.16,0,66,0.96,1.5,2,,,,,,,,,,,,,,,,,,,,,,,
13-064,"Beans, broad, whole, raw",DB,0,0.46,,0.04,0.04,3.2,0.9,4.1,0.06,0,145,4.94,2.7,32,,,,,,,,,,,,,,,,,,,,,,,
13-559,"Beans, butter, canned, re-heated, drained",DB,0,0.33,,0.05,0.03,0.2,0.9,1.1,0.05,0,12,N,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-663,"Beans, butter, dried, boiled in unsalted water",DB,0,0.4,,0.16,0.05,0.4,1.1,1.5,0.16,0,N,0.42,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-070,"Beans, butter, dried, raw",DB,0,1.13,,0.45,0.13,2.5,3.1,5.6,0.51,0,N,1.3,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-666,"Beans, cannellini, canned, re-heated, drained",DB,0,0.27,,0.04,0.03,1,1.3,2.3,0.06,0,8,1.3,0.2,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-670,"Beans, chick peas, canned, re-heated, drained",DB,0,1.7,,0.14,0.03,0.7,1.3,2,0.38,0,35,0.37,1.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-077,"Beans, chick peas, Kabuli, split, dried, boiled in unsalted water",DB,0,1.07,,0.1,0.07,0.7,1.1,1.8,0.14,0,54,0.29,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-076,"Beans, chick peas, Kabuli, split, dried, raw",DB,0,2.88,,0.39,0.24,1.9,3,4.9,0.53,0,180,1.59,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-662,"Beans, chick peas, Kabuli, whole, dried, boiled in unsalted water",DB,0,1.7,2.24,0.14,0.03,0.7,1.3,2,0.38,0,35,0.37,1.3,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,0,2.88,8.92,0.39,0.24,1.9,2.9,4.8,0.53,0,180,1.59,N,Tr,,,,,,,,,,,,,,,,,,,,,,,
13-080,"Beans, cluster, raw",DB,0,N,,0.24,0.13,0.5,0.6,1.1,N,0,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,
13-667,"Beans, edamame, frozen, boiled in unsalted water",DB,0,2.49,,0.14,0.06,2.1,2.7,4.8,0.31,0,15,2.8,1.7,11,,,,,,,,,,,,,,,,,,,,,,,
13-515,"Beans, green, boiled in unsalted water",DB,0,0.26,,0.08,0.08,0.7,0.4,1.1,0.02,0,58,0.12,0.7,6,,,,,,,,,,,,,,,,,,,,,,,
13-514,"Beans, green, raw",DB,0,0.44,39,0.12,0.09,0.8,0.4,1.2,0.06,0,58,0.11,1,8,,,,,,,,,,,,,,,,,,,,,,,
